survived,pclass,name,age,fare,sibsp,parch,sex_male
0,3,"Braund, Mr. Owen Harris",-0.5303766406838785,-0.5189778652472694,1,0,True
1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0.571830994003175,0.6918967500566985,1,0,False
1,3,"Heikkinen, Miss. Laina",-0.25482473201211503,-0.5062135634647565,0,0,False
1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0.36516706249935255,0.34804915212786086,1,0,False
0,3,"Allen, Mr. William Henry",0.36516706249935255,-0.5038498038754023,0,0,True
0,1,"McCarthy, Mr. Timothy J",1.6740386286902287,0.32464793219325394,0,0,True
0,3,"Palsson, Master. Gosta Leonard",-1.9081361840426954,-0.257546054664692,3,1,True
1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",-0.1859367548441742,-0.4455443643405553,0,2,False
1,2,"Nasser, Mrs. Nicholas (Adele Achem)",-1.0814804580274051,-0.08743478655338999,1,0,False
1,3,"Sandstrom, Miss. Marguerite Rut",-1.7703602297068137,-0.3402776402920899,1,1,False
1,1,"Bonnell, Miss. Elizabeth",1.949590537361992,-0.15401338465097683,0,0,False
0,3,"Saundercock, Mr. William Henry",-0.6681525950197601,-0.5038498038754023,0,0,True
0,3,"Andersson, Mr. Anders Johan",0.6407189711711159,-0.06466327217338712,1,5,True
0,3,"Vestrom, Miss. Hulda Amanda Adolfina",-1.0814804580274051,-0.5075523968961668,0,0,False
1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1.7429266058581694,-0.35351469399247354,0,0,False
0,3,"Rice, Master. Eugene",-1.9081361840426954,-0.10531993711027979,4,1,True
0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0.08961515382758917,-0.31569454056280594,1,0,False
0,2,"Fynney, Mr. Joseph J",0.36516706249935255,-0.16441392684413544,0,0,True
1,2,"Beesley, Mr. Lawrence",0.2962790853314117,-0.410244924136975,0,0,True
1,3,"McGowan, Miss. Anna ""Annie""",-1.0125924808594644,-0.504243133471071,0,0,False
1,1,"Sloper, Mr. William Thompson",-0.11704877767623337,0.015231801946785766,0,0,True
0,3,"Palsson, Miss. Torborg Danira",-1.4948083210350502,-0.257546054664692,3,1,False
1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",0.571830994003175,-0.0625358885429683,1,5,False
0,1,"Uruchurtu, Don. Manuel E",0.7096069483390568,-0.1318734668332494,0,0,True
0,2,"Wheadon, Mr. Edward H",2.500694354705519,-0.4575201159240595,0,0,True
0,1,"Meyer, Mr. Edgar Joseph",-0.11704877767623337,0.8977802102894517,1,0,True
0,1,"Holverson, Mr. Alexander Oskar",0.8473829026749384,0.32724806774154364,1,0,True
0,3,"Cann, Mr. Ernest Charles",-0.5992646178518193,-0.5038498038754023,0,0,True
0,3,"Vander Planke, Miss. Augusta Maria",-0.8059285493556418,-0.31569454056280594,2,0,False
1,3,"Nicola-Yarred, Miss. Jamila",-1.0814804580274051,-0.4434945120246673,1,0,False
0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0.7096069483390568,-0.47690294455676413,1,0,False
0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",-0.1859367548441742,-0.2589643104183045,1,0,False
1,2,"Laroche, Miss. Simonne Marie Anne Andree",-1.8392482068747544,0.13018994031160347,1,2,False
1,3,"Devaney, Miss. Margaret Delia",-0.7370405721877009,-0.5070796449782959,0,0,False
0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",-0.8059285493556418,-0.3194765559057727,1,0,False
0,3,"Panula, Master. Juha Niilo",-1.5636962982029912,0.09441774819015235,4,1,True
0,3,"Nosworthy, Mr. Richard Cater",-0.5992646178518193,-0.5085773230541109,0,0,True
1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1.3295987428505243,0.794879136838012,1,0,False
1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",-0.04816080050829252,-0.16441392684413544,1,0,False
0,1,"Ostby, Mr. Engelhart Cornelius",2.431806377537578,0.5159555052942132,0,1,True
1,2,"Rugg, Miss. Emily",-0.5992646178518193,-0.4575201159240595,0,0,False
0,3,"Novel, Mr. Mansouer",-0.08260478909226295,-0.519371194842938,0,0,True
1,2,"West, Miss. Constance Mirium",-1.7014722525388728,-0.13132129259317626,1,2,False
0,3,"Goodwin, Master. William Frederick",-1.2881443895312277,0.2308066764958912,5,2,True
0,3,"Sirayanian, Mr. Orsen",-0.5303766406838785,-0.519371194842938,0,0,True
1,1,"Icard, Miss. Amelie",0.571830994003175,0.8567302157568903,0,0,False
0,1,"Harris, Mr. Henry Birkhardt",1.054046834178761,0.9224427323409378,1,0,True
0,3,"Skoog, Master. Harald",-1.7703602297068137,-0.12848478108595124,3,2,True
1,2,"Nye, Mrs. (Elizabeth Ramell)",-0.04816080050829252,-0.4575201159240595,0,0,False
0,3,"Crease, Mr. Ernest James",-0.7370405721877009,-0.5018018425671859,0,0,True
1,3,"Andersson, Miss. Erna Alexandra",-0.8748165265235827,-0.5062135634647565,4,2,False
0,3,"Kink, Mr. Vincenz",-0.25482473201211503,-0.49226738188756664,2,0,True
0,2,"Jenkin, Mr. Stephen Curnow",0.15850313099553,-0.4575201159240595,0,0,True
0,3,"Goodwin, Miss. Lillian Amy",-0.9437045036915235,0.2308066764958912,5,2,False
0,2,"Hood, Mr. Ambrose Jr",-0.5992646178518193,0.7338147171104706,0,0,True
0,3,"Chronopoulos, Mr. Apostolos",-0.25482473201211503,-0.3827458905782637,1,0,True
1,3,"Bing, Mr. Lee",0.15850313099553,0.41226399063609354,0,0,True
0,3,"Moen, Mr. Sigurd Hansen",-0.3237127091800559,-0.5114138345613359,0,0,True
1,2,"Caldwell, Master. Alden Gates",-1.9887351173291863,-0.10768369669963401,0,2,True
1,3,"Dowdell, Miss. Elizabeth",0.020727176659648322,-0.4201727144122627,0,0,False
0,3,"Waelens, Mr. Achille",-0.5303766406838785,-0.48588523099631026,0,0,True
1,3,"Sheerlinck, Mr. Jan Baptist",-0.04816080050829252,-0.47643019263889336,0,0,True
0,1,"Carrau, Mr. Francisco M",-0.11704877767623337,0.234588691838858,0,0,True
1,2,"Ilett, Miss. Bertha",-0.8748165265235827,-0.4575201159240595,0,0,False
1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",0.22739110816347086,-0.3563512054996986,3,0,False
0,3,"Ford, Mr. William Neal",-0.9437045036915235,-0.006042034357402272,1,3,True
0,3,"Celotti, Mr. Francesco",-0.3926006863479967,-0.5038498038754023,0,0,True
0,3,"Christmann, Mr. Emil",-0.04816080050829252,-0.5038498038754023,0,0,True
0,3,"Andreasson, Mr. Paul Edvin",-0.6681525950197601,-0.5075523968961668,0,0,True
0,1,"Chaffee, Mr. Herbert Fuller",1.122934811346702,0.5007480216001439,1,0,True
0,3,"Dean, Mr. Bertram Frank",-0.25482473201211503,-0.2670010930221089,1,2,True
0,3,"Coxon, Mr. Daniel",2.018478514529933,-0.5189778652472694,0,0,True
